X,Y
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
0,5
0,4
0,3
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
138,4
138,3
0,14
1,14
2,15
3,15
4,15
5,15
6,15
7,15
8,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
16,16
17,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
25,16
26,16
27,16
28,16
29,15
30,15
31,15
32,15
33,15
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,13
42,13
43,13
44,13
45,13
46,13
47,12
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,12
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,14
67,14
68,14
69,14
70,14
71,15
72,15
73,15
74,15
75,15
76,16
77,16
78,16
79,16
80,16
81,16
82,16
83,16
84,16
85,16
86,16
87,16
88,16
89,16
90,16
91,16
92,16
93,16
94,16
95,16
96,16
97,15
98,15
99,15
100,15
101,15
102,15
103,14
104,14
105,14
106,14
107,14
108,14
109,13
110,13
111,13
112,13
113,13
114,13
115,13
116,13
117,12
118,12
119,12
120,12
121,12
122,12
123,12
124,12
125,12
126,12
127,12
128,13
129,13
130,13
131,13
132,13
133,13
134,14
135,14
136,14
137,14
138,14
0,13
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,13
25,13
26,13
27,13
28,13
29,13
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,13
38,13
39,13
40,13
41,13
42,13
43,13
44,13
45,13
46,13
47,13
48,13
49,13
50,13
51,13
52,13
53,13
54,13
55,13
56,13
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,13
80,13
81,13
82,13
83,13
84,13
85,13
86,13
87,13
88,13
89,13
90,13
91,13
92,13
93,13
94,13
95,13
96,13
97,13
98,13
99,13
100,13
101,13
102,13
103,13
104,13
105,13
106,13
107,13
108,13
109,13
110,13
111,13
112,13
113,13
114,13
115,13
116,13
117,13
118,13
119,13
120,13
121,13
122,13
123,13
124,13
125,13
126,13
127,13
128,13
129,13
130,13
131,13
132,13
133,13
134,13
135,13
136,13
137,13
138,13
0,-5
0,-4
0,-3
1,-5
2,-5
3,-5
4,-5
5,-5
6,-5
7,-5
8,-5
9,-5
10,-5
11,-5
12,-5
13,-5
14,-5
15,-5
16,-5
17,-5
18,-5
19,-5
20,-5
21,-5
22,-5
23,-5
24,-5
25,-5
26,-5
27,-5
28,-5
29,-5
30,-5
31,-5
32,-5
33,-5
34,-5
35,-5
36,-5
37,-5
38,-5
39,-5
40,-5
41,-5
42,-5
43,-5
44,-5
45,-5
46,-5
47,-5
48,-5
49,-5
50,-5
51,-5
52,-5
53,-5
54,-5
55,-5
56,-5
57,-5
58,-5
59,-5
60,-5
61,-5
62,-5
63,-5
64,-5
65,-5
66,-5
67,-5
68,-5
69,-5
70,-5
71,-5
72,-5
73,-5
74,-5
75,-5
76,-5
77,-5
78,-5
79,-5
80,-5
81,-5
82,-5
83,-5
84,-5
85,-5
86,-5
87,-5
88,-5
89,-5
90,-5
91,-5
92,-5
93,-5
94,-5
95,-5
96,-5
97,-5
98,-5
99,-5
100,-5
101,-5
102,-5
103,-5
104,-5
105,-5
106,-5
107,-5
108,-5
109,-5
110,-5
111,-5
112,-5
113,-5
114,-5
115,-5
116,-5
117,-5
118,-5
119,-5
120,-5
121,-5
122,-5
123,-5
124,-5
125,-5
126,-5
127,-5
128,-5
129,-5
130,-5
131,-5
132,-5
133,-5
134,-5
135,-5
136,-5
137,-5
138,-5
138,-4
138,-3
0,-14
1,-14
2,-15
3,-15
4,-15
5,-15
6,-15
7,-15
8,-16
9,-16
10,-16
11,-16
12,-16
13,-16
14,-16
15,-16
16,-16
17,-16
18,-16
19,-16
20,-16
21,-16
22,-16
23,-16
24,-16
25,-16
26,-16
27,-16
28,-16
29,-15
30,-15
31,-15
32,-15
33,-15
34,-14
35,-14
36,-14
37,-14
38,-14
